Genes	NATMI	CelltalkDB	Merge_Index
VIPR2	R	R	R
RTN4R	R	R	R
RTN4RL1	R	R	R
RTN4RL2	R	NA	R
ADIPOR1	R	R	R
ADIPOR2	R	R	R
CALCR	R	R	R
CALCRL	R	R	R
MRGPRX2	R	R	R
RAMP2	R	R	R
RAMP3	R	R	R
RAMP1	R	R	R
EPHA7	R	R	R
EPHB2	R	R	R
EPHB3	R	R	R
EPHB6	R	R	R
ATP1A3	R	R	R
LRP4	R	R	R
MUSK	R	R	R
MC3R	R	R	R
MC4R	R	R	R
MC5R	R	R	R
SDC3	R	R	R
AGTR1	R	R	R
AGTR2	R	R	R
LRP2	R	R	R
MAS1	R	R	R
INSR	R	R	R
CHL1	R	NA	R
NRP1	R	R	R
ALK	R	R	R
LTK	R	NA	R
CD63	R	R	R
LAMP1	R	R	R
LAMP2	R	NA	R
ACVR1	R	R	R
AMHR2	R	R	R
EGFR	R	R	R
PLXNB2	R	R	R
TEK	R	R	R
TIE1	R	R	R
LILRB2	R	R	R
FGFR1	R	R	R
DYSF	R	R	R
FPR1	R	R	R
FPR2	R	R	R
FPR3	R	R	R
ROBO4	R	R	R
TLR2	R	R	R
APLNR	R	R	R
ENO1	R	NA	R
LDLR	R	R	R
LSR	R	R	R
OLR1	R	R	R
LEPR	R	R	R
LRP5	R	R	R
LRP8	R	R	R
SCARB1	R	R	R
SORL1	R	R	R
VLDLR	R	R	R
CAV1	R	R	R
CD74	R	R	R
GPC1	R	R	R
NCSTN	R	R	R
TNFRSF21	R	R	R
ERBB3	R	R	R
CHRM3	R	R	R
PLD2	R	R	R
GFRA1	R	R	R
GFRA3	R	R	R
RET	R	R	R
ATRN	R	R	R
MC1R	R	R	R
MC2R	R	R	R
AVPR1A	R	R	R
AVPR1B	R	R	R
AVPR2	R	R	R
OXTR	R	R	R
CD1A	R	R	R
CD1B	R	R	R
LILRB1	R	R	R
NCR3	R	R	R
NGFR	R	R	R
NTRK2	R	R	R
SORT1	R	R	R
